"","uID","Year","Outcome","months_with_outcome","Txmonths","isCoal","initialYear","S_n_CR","avgNOxControls","scrubber","totOpTime","NOxemissions","SO2emissions","CO2emissions","GrossLoad","HeatInput","pctCapacity","Phase2","EPA.Region","Latitude","Longitude","Tx","coal_no_scrubber","coal_with_scrubber"
"3330","874_5",2002,2561.897,12,0,TRUE,NA,FALSE,2,FALSE,7306.25,2561.897,4559.484,1474251.85,1339291,14368937.3,0.462222045130429,1,5,41.4931,-88.1153,FALSE,TRUE,FALSE
"3331","876_1",2014,964.234,12,12,TRUE,1967,TRUE,1,TRUE,7662.82,964.234,1379.367,3353291.09,3348230.4,31972694.1,0.550832060125529,0,5,39.5906,-89.4964,TRUE,FALSE,TRUE
"3332","876_2",2014,1003.947,12,12,TRUE,1968,TRUE,1,TRUE,7823.07,1003.947,1438.9,3493434.5,3468890,33308923,0.594902901135033,0,5,39.5906,-89.4964,TRUE,FALSE,TRUE
"3333","879_51",2002,7593.63,12,0,TRUE,NA,FALSE,0,FALSE,7469,7593.63,4443.662,2148060.898,2158645,20936259.28,0.582014534733288,1,5,40.5408,-89.6786,FALSE,TRUE,FALSE
"3334","879_51",2014,1532.457,12,12,TRUE,NA,TRUE,1,FALSE,7490.5,1532.457,4392.635,2769781.9,2407051.8,26237939.5,0.567100880629852,1,5,40.5408,-89.6786,TRUE,TRUE,FALSE
"3335","879_52",2014,1605.832,12,12,TRUE,NA,TRUE,1,FALSE,7677.5,1605.832,4621.214,2910140.13,2528571.35,27567548.9,0.594753201652223,1,5,40.5408,-89.6786,TRUE,TRUE,FALSE
"3336","87_1",2002,3469.864,12,0,TRUE,1984,FALSE,1,TRUE,8094.53,3469.864,1191.876,1759793.43,1768204,17152013.9,0.44506843973055,1,6,35.4159,-108.082,FALSE,FALSE,TRUE
"3337","87_1",2014,2578.751,12,0,TRUE,1984,FALSE,1,TRUE,7586.1,2578.751,731.767,1567634.501,1492632.28,14946929.656,0.388088213968118,1,6,35.4159,-108.082,FALSE,FALSE,TRUE
"3338","880004_5C",2014,48.395,12,0,FALSE,NA,FALSE,0,FALSE,7418.24,48.395,NA,NA,NA,956646.67,0.335080249422262,0,3,38.8856,-77.0244,FALSE,FALSE,FALSE
"3339","880006_1",2002,19.812,12,0,FALSE,NA,FALSE,0,FALSE,2470,19.812,NA,NA,NA,141338.2,0.0565589265349151,0,3,39.949,-75.1557,FALSE,FALSE,FALSE
